rank,variant,mean_mechanical_score,scored_models
1,ablate_raw_cost,75.347,5
2,ablate_stats,73.341,5
3,ablate_keywords,71.534,5
4,ablate_expanded_cost,71.076,5
5,naive,70.920,5
6,ablate_ladder_cost,70.634,5
7,ablate_labels,70.609,5
8,ablate_ladder_keywords,70.430,5
9,ablate_text_mana_words,70.323,5
10,structured,70.027,5
11,ablate_ladder_labels,69.033,5
12,ablate_verbose_raw_cost,68.870,5
13,ablate_type,68.808,5
14,ablate_ladder_expanded_cost,67.219,5
15,ablate_verbose_raw_text,67.219,5
16,ablate_verbose_no_labels,67.049,5
17,verbose,66.767,5
18,ablate_verbose_no_keywords,65.229,5

